municipality,group,variable,month,8. Días camas ocupadas otros servicios,TOTAL
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,4,4
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,663,663
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,437,437
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,987,987
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,1913,1913
YAMPARAEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,1,1
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,571,571
YUNCHARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,4,4
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-06-01,22,22
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,191,191
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,193,193
ALCALA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,7,7
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,12,12
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,41,41
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,8,8
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,598,598
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,295,295
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,18,18
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,49,49
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,46,46
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,797,797
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,6,6
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,3,3
BOLPEBRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,28,28
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,49,49
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,69,69
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,12,12
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,353,353
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,757,757
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,121,121
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,68,68
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,472,472
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,64,64
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,34,34
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,421,421
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,250,250
CHARAÑA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,113,113
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,232,232
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,211,211
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2361,2361
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,31226,31226
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,3764,3764
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,3,3
COLOMI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,14,14
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,4,4
COLQUENCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,4,4
COLQUIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,6,6
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,192,192
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,280,280
COPACABANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,321,321
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,4,4
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1121,1121
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,246,246
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,5,5
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,45,45
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,15351,15351
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,48,48
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,493,493
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,54,54
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,98,98
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,58,58
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,35,35
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,6,6
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,103,103
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,907,907
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,57,57
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,22,22
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,53,53
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,6,6
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,428,428
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,11,11
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,10,10
INCAHUASI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,17,17
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,13,13
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,56,56
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,634,634
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,49968,49968
LA RIVERA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,661,661
LLICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,10,10
MACHACAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,10,10
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,122,122
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,96,96
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,8,8
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,76,76
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,139,139
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,14,14
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,683,683
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,4969,4969
MOROCHATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,47,47
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,15494,15494
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,338,338
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,169,169
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,73,73
PAMPA AULLAGAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,7,7
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,13,13
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,146,146
POCOATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,3,3
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,36,36
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,35,35
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,82,82
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,416,416
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,10843,10843
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,42,42
PUCARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,5,5
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,62,62
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,5,5
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,356,356
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,12,12
PUERTO SILES,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,202,202
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,934,934
PUNA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,925,925
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1913,1913
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,14,14
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,9,9
RAVELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,63,63
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,188,188
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2787,2787
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,359,359
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,319,319
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,14,14
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2415,2415
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,7,7
SACACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,30,30
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,4,4
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,62,62
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,15,15
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,335,335
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,558,558
SAN CARLOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,26,26
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,225,225
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1147,1147
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,170,170
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,53,53
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,447,447
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,947,947
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,184,184
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,542,542
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,40,40
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,51,51
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,73,73
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,47,47
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,78,78
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,197,197
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,44023,44023
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,99,99
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,68,68
SENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,9,9
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,68,68
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,26,26
SORACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,25487,25487
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,4,4
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,6,6
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,366,366
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,11723,11723
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,99,99
TIPUANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,32,32
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,388,388
TOMINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,8,8
TORO TORO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,32,32
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2981,2981
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1185,1185
UMALA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1,1
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,3,3
URUBICHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,31,31
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,488,488
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,716,716
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1015,1015
VILA VILA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,32,32
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,16,16
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,563,563
VILLA RIVERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,2,2
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1967,1967
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,23,23
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,727,727
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,605,605
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,816,816
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,1895,1895
YANACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,6,6
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,705,705
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-07-01,7,7
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,271,271
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,12,12
ANTEQUERA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,61,61
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,551,551
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,246,246
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,25,25
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,71,71
BATALLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,36,36
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,963,963
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,35,35
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,90,90
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,5,5
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,19,19
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,395,395
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,654,654
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,106,106
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,55,55
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,312,312
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,46,46
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,30,30
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,402,402
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,219,219
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,136,136
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,155,155
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,4,4
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,156,156
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2164,2164
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,28807,28807
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,3804,3804
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,8,8
COLOMI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,29,29
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
COLQUIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,18,18
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,234,234
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,374,374
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,339,339
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,10,10
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,947,947
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,220,220
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,50,50
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,16080,16080
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,43,43
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,541,541
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,85,85
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,107,107
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,54,54
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,3,3
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,68,68
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,33,33
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,58,58
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,770,770
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,64,64
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,12,12
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,34,34
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,4,4
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,461,461
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,8,8
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,11,11
INCAHUASI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,39,39
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,33,33
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,4,4
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,78,78
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,723,723
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,50708,50708
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,3,3
LAS CARRERAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,34,34
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,669,669
LLICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,1,1
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,8,8
LURIBAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,21,21
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,172,172
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,100,100
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,21,21
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,93,93
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,202,202
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,12,12
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,30,30
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,756,756
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,4268,4268
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,0,0
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,15,15
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,14251,14251
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,327,327
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,263,263
PALCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,3,3
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,114,114
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,24,24
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,122,122
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,39,39
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,2,2
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,59,59
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,103,103
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,377,377
PORVENIR,internaciones dias camas,dias camas ocupadas otros servicios,2024-08-01,6,6
