,group,variable,month,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,25.0,18.0,43.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,12.0,12.0,24.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,240.0,192.0,432.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,16.0,21.0,37.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,3.0,5.0,8.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,47.0,30.0,77.0
SAN ANTONIO DE LOMERIO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,1.0,2.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,5.0,1.0,6.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,2.0,4.0,6.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,4.0,2.0,6.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,27.0,15.0,42.0
SAN JOAQUIN,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,3.0,2.0,5.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,2.0,3.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,1.0,2.0
SAN RAMON SCZ,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,0.0,2.0,2.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,744.0,597.0,1341.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SENA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,5.0,0.0,5.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,4.0,8.0,12.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,0.0,1.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,64.0,54.0,118.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,6.0,16.0,22.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,7.0,4.0,11.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,42.0,34.0,76.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,18.0,22.0,40.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,6.0,6.0,12.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,7.0,14.0,21.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,16.0,10.0,26.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,9.0,7.0,16.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,31.0,26.0,57.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-08-01,3.0,4.0,7.0
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,2.0,1.0,3.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,32.0,15.0,47.0
ATOCHA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,10.0,8.0,18.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,19.0,13.0,32.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,0.0,1.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,0.0,1.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,20.0,19.0,39.0
CAPINOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,5.0,6.0,11.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,6.0,9.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,10.0,9.0,19.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,6.0,6.0,12.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,26.0,28.0,54.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,158.0,126.0,284.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,12.0,10.0,22.0
COMARAPA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
CONCEPCION,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,4.0,1.0,5.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,254.0,210.0,464.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,2.0,1.0,3.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,39.0,31.0,70.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,2.0,1.0,3.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,9.0,4.0,13.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,614.0,556.0,1170.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,4.0,8.0,12.0
MAGDALENA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,4.0,7.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,13.0,9.0,22.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,62.0,46.0,108.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,29.0,38.0,67.0
PAILON,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,0.0,1.0
POROMA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,3.0,3.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,14.0,19.0,33.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,34.0,32.0,66.0
PUCARA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,1.0,2.0
PUERTO SUAREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,6.0,7.0,13.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,18.0,16.0,34.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,213.0,211.0,424.0
RIBERALTA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,30.0,36.0,66.0
ROBORE,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,1.0,4.0
RURRENABAQUE,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,7.0,9.0,16.0
SACABA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,35.0,39.0,74.0
SAN BORJA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,2.0,0.0,2.0
SAN CARLOS,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,1.0,2.0
SAN IGNACIO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,6.0,6.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,49.0,28.0,77.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,0.0,3.0
SAN JULIAN,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,5.0,4.0,9.0
SAN LUCAS,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,1.0,4.0
SAN MATIAS,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,2.0,3.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,2.0,0.0,2.0
SAN RAFAEL,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,3.0,6.0
SANTA ANA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,2.0,5.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,470.0,417.0,887.0
SANTA ROSA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,1.0,0.0,1.0
SENA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
SHINAOTA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,5.0,6.0,11.0
SOPACHUY,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
TARIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,97.0,87.0,184.0
TIQUIPAYA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,11.0,7.0,18.0
TOTORA(CBBA),diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,3.0,3.0,6.0
TRINIDAD,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,64.0,53.0,117.0
UYUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
VALLEGRANDE,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,15.0,12.0,27.0
VIACHA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,0.0,1.0,1.0
VILLA MONTES,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,10.0,6.0,16.0
VILLA TUNARI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,26.0,16.0,42.0
VINTO,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,16.0,8.0,24.0
WARNES,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,6.0,5.0,11.0
YACUIBA,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,63.0,56.0,119.0
YAPACANI,diagnostico de egreso,      otros en menores de 5 anos,2014-09-01,20.0,17.0,37.0
